"","性別","年齢階層","満足","やや満足","やや不満だ","不満だ","どちらともいえない","わからない"
"1","男","15-24",0.275,0.65,0.0416666666666667,0.025,0.00833333333333333,0
"2","男","25-29",0.0865384615384615,0.692307692307692,0.163461538461538,0.0480769230769231,0.00961538461538462,0
"3","男","30-39",0.111111111111111,0.660130718954248,0.196078431372549,0.0294117647058824,0.00326797385620915,0
"4","男","40-49",0.0971302428256071,0.637969094922737,0.207505518763797,0.0397350993377483,0.0154525386313466,0.0022075055187638
"5","男","50-59",0.0862068965517241,0.603448275862069,0.246305418719212,0.0517241379310345,0.0123152709359606,0
"6","男","60-69",0.0886075949367089,0.578059071729958,0.251054852320675,0.069620253164557,0.0126582278481013,0
"7","男","70+",0.0815138282387191,0.614264919941776,0.209606986899563,0.0713245997088792,0.0174672489082969,0.00582241630276565
"8","女","15-24",0.283018867924528,0.613207547169811,0.0943396226415094,0.00943396226415094,0,0
"9","女","25-29",0.22093023255814,0.593023255813954,0.174418604651163,0.0116279069767442,0,0
"10","女","30-39",0.139275766016713,0.646239554317549,0.181058495821727,0.0306406685236769,0.00278551532033426,0
"11","女","40-49",0.11522633744856,0.687242798353909,0.166666666666667,0.0267489711934156,0.00411522633744856,0
"12","女","50-59",0.101364522417154,0.580896686159844,0.270955165692008,0.0389863547758285,0.00779727095516569,0
"13","女","60-69",0.112099644128114,0.649466192170818,0.179715302491103,0.0462633451957295,0.00889679715302491,0.00355871886120996
"14","女","70+",0.128915662650602,0.6,0.180722891566265,0.0759036144578313,0.0132530120481928,0.00120481927710843
